구,강도,살인,성범죄,절도,폭력,강도검거율,살인검거율,성범죄검거율,절도검거율,폭력검거율
강남구,25.0,12.0,578.0,2372.0,3159.0,92.0,91.67,78.55,48.9,87.02
강동구,6.0,3.0,124.0,1612.0,1713.0,100.0,100.0,83.06,55.15,85.29
강북구,1.0,4.0,136.0,777.0,1383.0,100.0,100.0,84.56,69.11,90.74
강서구,3.0,9.0,246.0,1540.0,2098.0,100.0,77.78,76.42,59.81,91.75
관악구,7.0,8.0,321.0,1860.0,2248.0,85.71,50.0,83.8,49.95,85.68
광진구,4.0,5.0,208.0,1414.0,1456.0,100.0,60.0,77.4,53.32,87.91
구로구,2.0,5.0,182.0,1390.0,1907.0,50.0,100.0,64.84,55.4,80.6
금천구,3.0,7.0,134.0,1013.0,1282.0,100.0,85.71,76.87,51.33,86.43
노원구,3.0,6.0,156.0,1361.0,1899.0,100.0,100.0,80.77,48.05,79.67
도봉구,2.0,2.0,72.0,772.0,1012.0,50.0,100.0,88.89,48.7,84.09
동대문구,7.0,3.0,169.0,1240.0,1540.0,100.0,100.0,86.98,53.15,84.09
동작구,1.0,2.0,180.0,1129.0,1319.0,100.0,100.0,52.22,59.79,80.06
마포구,4.0,4.0,321.0,1510.0,1701.0,100.0,75.0,85.67,48.34,80.36
서대문구,2.0,3.0,137.0,1027.0,1109.0,100.0,100.0,87.59,54.72,81.79
서초구,5.0,9.0,312.0,1503.0,1827.0,100.0,100.0,73.08,45.97,82.43
성동구,4.0,3.0,110.0,905.0,1090.0,25.0,100.0,74.55,54.92,84.95
성북구,2.0,4.0,118.0,895.0,1392.0,100.0,75.0,74.58,52.96,87.64
송파구,7.0,3.0,247.0,2024.0,2433.0,85.71,100.0,87.45,49.16,84.09
양천구,3.0,1.0,116.0,1349.0,1546.0,100.0,100.0,79.31,51.89,83.38
영등포구,11.0,8.0,279.0,1712.0,2169.0,100.0,100.0,70.25,48.54,79.81
용산구,1.0,3.0,141.0,945.0,1291.0,100.0,66.67,73.05,51.22,82.8
은평구,3.0,4.0,166.0,1424.0,1647.0,100.0,100.0,80.12,57.94,88.46
종로구,4.0,6.0,156.0,1079.0,1467.0,100.0,50.0,65.38,46.71,80.98
중구,6.0,6.0,161.0,1279.0,1409.0,100.0,100.0,60.25,57.78,86.87
중랑구,6.0,4.0,141.0,1399.0,1660.0,100.0,100.0,82.98,59.69,86.87
